day,month,year,flow,hyear,baseflow,date,threshold
23,1,1971,12.7,1971,0.25307142857142856,1971-01-23T00:00:00Z,9.846479999999996
18,3,1971,7.76,1971,0.23916666666666667,1971-03-18T00:00:00Z,5.768239999999999
19,6,1971,3.52,1971,0.057999999999999996,1971-06-19T00:00:00Z,1.7168000000000028
11,2,1974,10,1974,0.6369259259259259,1974-02-11T00:00:00Z,7.136735999999994
5,9,1974,8.45,1974,0.21899999999999997,1974-09-05T00:00:00Z,2.331280000000006
27,9,1974,6.68,1974,0.333,1974-09-27T00:00:00Z,2.331280000000006
13,11,1974,11.2,1974,0.23492105263157895,1974-11-13T00:00:00Z,7.900880000000004
21,11,1974,12.6,1974,0.2545,1974-11-21T00:00:00Z,7.900880000000004
20,1,1975,12.4,1975,0.3778571428571429,1975-01-20T00:00:00Z,9.846479999999996
18,4,1975,3.99,1975,0.34263636363636363,1975-04-18T00:00:00Z,3.9741599999999995
17,5,1975,3.43,1975,0.15594444444444444,1975-05-17T00:00:00Z,2.809599999999989
27,9,1975,3.1,1975,0.069,1975-09-27T00:00:00Z,2.331280000000006
18,10,1976,7.27,1976,0.3393809523809524,1976-10-18T00:00:00Z,5.868639999999996
29,11,1976,10.5,1976,0.29100000000000004,1976-11-29T00:00:00Z,7.900880000000004
27,8,1977,1.22,1977,0.09085714285714284,1977-08-27T00:00:00Z,0.8083599999999974
6,5,1978,4.48,1978,0.3216734693877551,1978-05-06T00:00:00Z,2.809599999999989
25,3,1979,5.91,1979,0.6205555555555555,1979-03-25T00:00:00Z,5.768239999999999
8,4,1979,7.79,1979,0.7372307692307692,1979-04-08T00:00:00Z,3.9741599999999995
28,12,1979,12.5,1979,0.31899999999999995,1979-12-28T00:00:00Z,10.349039999999993
9,3,1981,6.09,1981,0.6908571428571428,1981-03-09T00:00:00Z,5.768239999999999
25,5,1981,5.64,1981,0.24068421052631578,1981-05-25T00:00:00Z,2.809599999999989
